year,sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
4th Year,2c1d0875fef6,discuss the fitness function in ga,(b) Discuss the fitness function in GA?,P.T.O,4th-year.pdf,1,6342
4th Year,b14aec4d61ef,discuss the general system model where agreement protocols,Discuss the general system model where agreement protocols,TCS-801/1890/4,4th-year.pdf,1,2853
4th Year,d707c13dc067,discuss the multi dimensional data,Discuss the multi-dimensional data.,DATA WAREHOUSING AND MINING,4th-year.pdf,1,4627
4th Year,50c4a11400a8,discuss the multimedia,Discuss the multimedia,5X4 20,4th-year.pdf,1,3784
4th Year,72abcfbf5eaa,discuss the openmp implantation in c,Discuss the OPENMP implantation in C.,TCS-702/1920,4th-year.pdf,1,853
4th Year,45eae1abb68d,discuss the ricart agrawala algorithm for distributed mutual exclusion and explain how it is an optimization of lamport s algorithm for distributed mutual exclusion erit,Discuss the Ricart-Agrawala algorithm for distributed mutual exclusion and explain how it is an optimization of Lamport's algorithm for distributed mutual exclusion.erit,TCS-801/1890/4,4th-year.pdf,1,2850
4th Year,abba2c0b44bb,discuss the role of auditing in iso,Discuss the role of Auditing in ISO.,QUALITY SYSTEM AND MANAGEMENT,4th-year.pdf,1,4013
4th Year,d95e81d01cb9,discuss the various control methods against program threats,Discuss the various control methods against program threats.,C12,4th-year.pdf,1,5577
4th Year,6c2cb68e663b,discuss the various types of inheritance with,Discuss the various types of Inheritance with,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,56
4th Year,8131632d81a6,discuss threats access control and identity management with,"Discuss threats, access control,  and identity management with",CLOUD SECURITY,4th-year.pdf,1,1676
4th Year,a9c6584d3b4b,discuss various classification of parallel computers,Discuss various classification of parallel computers.,ADVANCED COMPUTER ARCHITECTURE (TCS-702),4th-year.pdf,1,467
4th Year,a6502a3662f2,discuss various issues in,Discuss various issues in,DS-1096],4th-year.pdf,1,3712
4th Year,1048ce917d41,discuss various operations as union intersection complement and difference in crisp sets chalk them out again in fuzzy world,"Discuss various operations as union, Intersection, Complement and Difference in Crisp sets. Chalk them out again in Fuzzy world.",[P.T.O.],4th-year.pdf,1,5998
4th Year,5bc244e51362,discuss various schemas used in data warehouse,Discuss various schemas used in data warehouse.,DATA WAREHOUSING AND MINING,4th-year.pdf,1,4654
4th Year,a7134a06a73c,discuss working of mac with suitable,Discuss working of MAC with suitable,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1932
4th Year,6dc23b6be0eb,distinguish between the terms hypertext and,Distinguish between the terms Hypertext' and,DS-1099],4th-year.pdf,1,3814
4th Year,6446eb0e2059,distributed algorithm evaluated,distributed algorithm evaluated?,E34,4th-year.pdf,1,2499
4th Year,897e79b3de72,distributed deadlock detection,distributed deadlock detection?,TCS-801/1890/4,4th-year.pdf,1,2868
4th Year,730a6c3c8220,distributed system,Distributed system?,"(SEM. VIII) EXAMINATION, 2012 DISTRIBUTED SYSTEMS",4th-year.pdf,1,2412
4th Year,8848bee6f50b,distributed systems,distributed systems?,TCS-801/1890/4,4th-year.pdf,1,2828
4th Year,a49419189389,does cloud computing support its processing and storage needs,does cloud computing support its processing and  storage needs?,CLOUD SECURITY,4th-year.pdf,1,1696
4th Year,26f3f2ae37ab,does frequency reuse increase the isincapacity of the system,"does ""frequency reuse"" increase the isincapacity of the system?",MOBILE COMPUTING,4th-year.pdf,1,3623
4th Year,80145164a37b,does it help to reduce the image size,does it help to reduce the image size?,VO1230,4th-year.pdf,1,3844
4th Year,55cc41d87868,does one phase algorithm remove the possibility of false deadlock detection,does one phase algorithm remove the possibility 1100 of false deadlock detection ?,E34,4th-year.pdf,1,2495
4th Year,065fa1526a56,draw different stages what is the role of buffers in a,Draw different stages. What is the role of buffers in a,ADVANCE COMPUTER ARCHITECTURE,4th-year.pdf,1,645
4th Year,07d62e128f82,draw discuss the block diagram of web services,Draw & discuss the block diagram of Web Services,WEB TECHNOLOGY,4th-year.pdf,1,7244
4th Year,a1ed7f58d5ca,draw the block diagram and explain its components,Draw the block diagram and explain its components.,BCST-802/BITT-802,4th-year.pdf,1,7132
4th Year,e0639708ae0e,during audits what are the preparations needed by audities,During audits what are the preparations needed by Audities?,QFD,4th-year.pdf,1,4129
4th Year,886d4f31f5d7,e discuss the issues of security in wireless network,e) Discuss the issues of security in wireless network?,NETWORKS,4th-year.pdf,1,1458
4th Year,f828eca92d2b,e explain in detail how you can mount nfs volume,e) Explain in detail how you can mount NFS volume?,Q.2,4th-year.pdf,1,6852
4th Year,accebe37a4d7,e explain various,e) Explain various,TCS-701/TIT701,4th-year.pdf,1,6401
4th Year,04f150333682,e node work,e node work?,DS-1096],4th-year.pdf,1,3664
4th Year,9d4633c87ec8,e state the applications of genetic algorithm,e) State the applications of Genetic Algorithm?,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6297
4th Year,0b250dd1c784,e what are the basic requirements to provide data base security,e) What are the basic requirements to provide data base security?,C12,4th-year.pdf,1,5552
4th Year,a0bc5e2286ef,e what are the important features of fpga and cplds,e) What are the important features of FPGA and CPLDs?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,4814
4th Year,8ef74c46bb0e,e what is a firewall,e) What is a firewall?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1862
4th Year,81e7ed29f75a,e what is multicasting,e) What is multicasting?,NETWORKS,4th-year.pdf,1,1473
4th Year,8d27393978dd,e what is multidimensional data model and what is their use,e) What is Multidimensional data model and what is their use?,MM.: 100,4th-year.pdf,1,4532
4th Year,66333658b2c5,e what is the,e) What is the,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,7560
4th Year,8b189a1e32fd,e what is trojan horse,e) What is Trojan Horse?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1889
4th Year,3f8f34a01d4e,each task,each task?,MM.: 100,4th-year.pdf,1,4593
4th Year,181076e9dc28,elaborate the complete method of encryption in des,Elaborate the complete method of encryption in DES?,(A),4th-year.pdf,1,2153
4th Year,1bca666f0f33,elaborate with example,Elaborate with example.,(E),4th-year.pdf,1,2124
4th Year,cb820a641512,elliptic curve,elliptic  curve?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,1983
4th Year,5818944fe688,elliptic curve cryptography,Elliptic Curve Cryptography,(F),4th-year.pdf,1,2088
4th Year,4bd566e39179,endian and big endian format,endian and big-endian format?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,1989
4th Year,a386bce2492d,enforcement enhance modern os security,enforcement  enhance modern OS security?,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1288
4th Year,6d2c3bb6a763,environments how do these elements support trusted cloud computing,environments. How do these elements support trusted cloud computing?,CLOUD SECURITY,4th-year.pdf,1,1681
4th Year,6fae58757e16,estimation,Estimation?,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5326
4th Year,f7c1380a0d71,explain,Explain,5 X 4,4th-year.pdf,1,2094
4th Year,f7c1380a0d71,explain,Explain,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5872
4th Year,f7c1380a0d71,explain,Explain.,B.TECH.(CS/IT) (SEMESTER-VII),4th-year.pdf,1,6662
4th Year,f7c1380a0d71,explain,Explain.,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5441
4th Year,f7c1380a0d71,explain,Explain.,MOBILE COMPUTING,4th-year.pdf,1,3637
4th Year,f7c1380a0d71,explain,Explain.,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,34
4th Year,f7c1380a0d71,explain,Explain.,Q.2,4th-year.pdf,1,6848
4th Year,f7c1380a0d71,explain,Explain.,QFD,4th-year.pdf,1,4129
4th Year,f7c1380a0d71,explain,Explain.,WATAO,4th-year.pdf,1,4705
4th Year,f7c1380a0d71,explain,Explain.,[4X5 = 20],4th-year.pdf,1,7405
4th Year,f7c1380a0d71,explain,Explain.,[P.T.O.],4th-year.pdf,1,6005
4th Year,0746ac9e398c,explain about the domain name server write about any two domain name,Explain about the Domain Name Server. Write about any two domain name,[P.T.O.],4th-year.pdf,1,7303
4th Year,ba41a433a9fa,explain about the procedure for configuring network in linux,Explain about the procedure for configuring network in LINUX.,ΤΕΘΕΙΘΕΟΣ,4th-year.pdf,1,6751
4th Year,477dd4baf4d1,explain acceptance sampling,Explain acceptance sampling.,QUALITY SYSTEM AND MANAGEMENT,4th-year.pdf,1,5637
4th Year,eb5b5a09749f,explain adapters and datareaders with example c describe the use of textwriter and textreader with suitable example,Explain Adapters and datareaders with example. (10 marks)  c) Describe the use of TextWriter and TextReader with suitable example. (10 marks),"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,146
4th Year,895cd2279e55,explain all the five areas of the iso network management model,Explain all the five areas of the ISO Network Management Model?,(C),4th-year.pdf,1,1202
4th Year,16f77761a8e0,explain amdahl s law which components can be considered to improve the performance ofa,Explain Amdahl's law. Which components can be considered to improve the performance ofa,Q.3.,4th-year.pdf,1,515
4th Year,eb26438bbe1e,explain an edge chasing algorithm for distributed,Explain an edge chasing algorithm for Distributed,TCS-801/1890/4,4th-year.pdf,1,2870
4th Year,27031cc96c5f,explain any two in,Explain any two in,M32) (320) HOT,4th-year.pdf,1,814
4th Year,355e56279f2e,explain any two strategies that make tcp adaptive to wireless domain,Explain any two strategies that make TCP adaptive to wireless domain.,DS-1096],4th-year.pdf,1,3671
4th Year,172102ba00aa,explain architecture model and failure model,Explain Architecture Model and Failure Model,(5X4=20),4th-year.pdf,1,5080
4th Year,9fb60c9c66dc,explain architecture of data warehouse,Explain architecture of data warehouse.,MM.: 100,4th-year.pdf,1,4579
4th Year,65f5a4227956,explain architecture of google file system,(c) Explain Architecture of Google File System?,Q4.,4th-year.pdf,1,7058
4th Year,804ef598e787,explain backpropagation algorithm for mlp with a neat signal flow graph,Explain backpropagation algorithm for MLP with a neat signal flow graph.,SOFT COMPUTING,4th-year.pdf,1,6139
4th Year,55c5f3c3391f,explain briefly about conditional or predicated instructions and the limiting factors affecting their complete usefulness,Explain briefly about conditional or predicated instructions and the limiting factors affecting their complete usefulness.,S1 X,4th-year.pdf,1,3224
4th Year,ca17d8f357eb,explain briefly about working of nfs in linux with neat block diagram,Explain briefly about working of NFS in Linux with neat block diagram.,ΤΕΘΕΙΘΕΟΣ,4th-year.pdf,1,6798
4th Year,ed86bee76c5b,explain crossbar network configuration built in fuzitsu vector parallel processors,"Explain Crossbar network configuration built in Fuzitsu vector parallel processors,",TCS-702/1420,4th-year.pdf,1,246
4th Year,cf5a4de46917,explain data dependences with example consider the loop below,Explain data dependences with example. Consider the loop below:,[P.T.O.],4th-year.pdf,1,319
4th Year,ff7c88725a93,explain details about the accessing,Explain details about the Accessing,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,64
4th Year,36a44b4c215e,explain details about the reading and writing xml,Explain details about the Reading and Writing XML.,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,84
4th Year,9443a96ef943,explain detecting and enhancing loop level parallelism for vliw,Explain detecting and enhancing loop level parallelism for VLIW.,M32) (320) HOT,4th-year.pdf,1,810
4th Year,e07e77d66b48,explain difference between shell and kernel also explain their working of execution,Explain difference between Shell and Kernel. Also explain their working of execution.,Q.2,4th-year.pdf,1,6864
4th Year,66e84245ac5d,explain different cloud service deployment models,(b) Explain different cloud service deployment models?,BCST-803 (D),4th-year.pdf,1,7011
4th Year,be2c7ab600d7,explain different defuzzification method with an example,Explain different defuzzification method with an example?,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6303
4th Year,d92083d81935,explain different kind of tools for it c what do you mean by active directory and,Explain different kind of tools for it. c) What do you mean by Active directory and,10X2,4th-year.pdf,1,6450
4th Year,2ecc1652eef9,explain different methods of attack in networking,Explain different methods of attack in networking.,HOBT,4th-year.pdf,1,6607
4th Year,192a3f18eca8,explain different stages of fmea,Explain different stages of FMEA.,ISO,4th-year.pdf,1,4071
4th Year,f7d2b2b2883e,explain different steps required for digitization of analog audio,Explain different steps required for digitization of analog audio.,VO1230,4th-year.pdf,1,3894
4th Year,cbd0be600a73,explain different tool,Explain different tool,NFS ?,4th-year.pdf,1,4281
4th Year,25d267b77e6e,explain different types,Explain different types,VO1230,4th-year.pdf,1,3836
4th Year,9e9e1f0d911a,explain different types of locks used,Explain different types of locks used,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,133
4th Year,7aae5fccb8e6,explain different types of virtualizations and,Explain different types of virtualizations and,CLOUD SECURITY,4th-year.pdf,1,1650
4th Year,e39e1fe7ae9c,explain each case,Explain each case.,M32) (320) HOT,4th-year.pdf,1,745
4th Year,2166f70789ea,explain entity identification problem with suitable example,(d) Explain entity-identification problem with suitable example?,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,3338
4th Year,bc0ce48184f5,explain etl process with suitable diagram,"Explain ETL (Extraction, Transformation and Loading) process with suitable diagram.",AAD,4th-year.pdf,1,3531
4th Year,8fdde2bb8717,explain euler s totient function,Explain Euler's Totient Function (φ(n)),CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,1967
4th Year,b0a40e207413,explain external and internal synchronization with mathematical model and analysis,Explain External and internal synchronization with mathematical model and analysis?,(10X2=20),4th-year.pdf,1,5149
4th Year,477c6dd99309,explain flynn s classification of computer architecture with diagram,Explain Flynn's classification of computer architecture with diagram.,ADVANCE COMPUTER ARCHITECTURE,4th-year.pdf,1,631
4th Year,15c3353e2ba8,explain fork system call in brief,Explain fork system call in brief.,B.TECH.(CS/IT) (SEMESTER-VII),4th-year.pdf,1,6694
4th Year,224a7aba3075,explain forward and backward validation,(c) Explain forward and backward validation?,(10X2=20),4th-year.pdf,1,5154
4th Year,a2e839a3ba2a,explain fuzzy inference models with examples,Explain Fuzzy inference models with examples.,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1593
4th Year,6d53fdf4016e,explain google app engine and write the advantages and disadvantages of google app engine,Explain Google App Engine. And write the advantages and disadvantages of  Google App Engine.,CLOUD SECURITY,4th-year.pdf,1,1783
4th Year,c75f3360a797,explain how cloud providers offer managed hadoop services,Explain  how cloud providers offer managed Hadoop services.,CLOUD SECURITY,4th-year.pdf,1,1739
4th Year,58d054273501,explain how instruction set compiler technology cpu implementation and control,"Explain how instruction set, compiler technology, CPU implementation and control,",S4: X COS (Z),4th-year.pdf,1,222
4th Year,72e1af72ea98,explain how optimistic concurrency is controlled,Explain how optimistic concurrency is controlled?,(10X2=20),4th-year.pdf,1,5168
4th Year,baa2fc69652c,explain how process creation and management are handled at the kernel,Explain how process creation and management  are handled at the kernel,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1266
4th Year,ddf1dfe3f87e,explain how two phase commit protocol responds to failure of,Explain how Two- phase Commit Protocol responds to Failure of,TCS-801/1890/4,4th-year.pdf,1,2904
4th Year,588209309d1c,explain hybrid systems,Explain Hybrid systems.,SOFT COMPUTING,4th-year.pdf,1,6121
4th Year,10fb70af71c9,explain hyper threading technology provide two examples of hyper threading technology,Explain hyper-threading technology. Provide two examples of  hyper-threading technology.,SECTION-5,4th-year.pdf,1,3070
4th Year,a1692cb50155,explain in detail,Explain in detail.,ADVANCE COMPUTER NETWORK,4th-year.pdf,1,988
4th Year,a1692cb50155,explain in detail,Explain in detail.,Q3.,4th-year.pdf,1,1030
4th Year,a1692cb50155,explain in detail,Explain in detail.,Q5.,4th-year.pdf,1,1077
4th Year,a1692cb50155,explain in detail,Explain in detail.,[P.T.O.],4th-year.pdf,1,1046
4th Year,7bbec29ad45f,explain in details about remote procedure call with a case study,(a) Explain in details about remote procedure call with a case study?,(10X2=20),4th-year.pdf,1,5131
4th Year,2c463f7e2876,explain in details about the interfaces with an example,Explain in details about the Interfaces with an example?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,57
4th Year,edf3b661bc9c,explain in details about the reading and writing xml,Explain in details about the Reading and Writing XML.,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,153
4th Year,22ab456b6990,explain in details the various backups and recovery procedures used in data,Explain in details the various backups and recovery procedures used in data,DATA WAREHOUSING AND MINING,4th-year.pdf,1,4644
4th Year,8b7ce86f3e67,explain in short c,Explain in short. c),"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,7529
4th Year,0044258fa3ac,explain inconfig command with example,Explain inconfig command with example.,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4252
4th Year,50e67e1ff8ae,explain intrusion detection system with suitable,Explain intrusion detection system with suitable,C12,4th-year.pdf,1,5602
4th Year,ed81d9941491,explain ip masquerade how it is implemented,(a) Explain IP Masquerade. How it is implemented?,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4219
4th Year,613e193f611a,explain ip masquerading in detail how configuration of ip masquerading is done,Explain IP masquerading in detail. How configuration of IP masquerading is done?,HOBT,4th-year.pdf,1,6589
4th Year,f635ffce4e26,explain its different types and possible configuration f what,Explain its different types and possible configuration. f) What,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1862
4th Year,0f8d1e0a0721,explain its feature with suitable example,Explain its feature with suitable example. (10 marks),"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5870
4th Year,1cfb5310ed2f,explain its function and different kernel boot file,Explain its function and different kernel boot file.,Q.2,4th-year.pdf,1,6844
4th Year,ac296c1c2083,explain its functionality with suitable example,Explain its functionality with suitable example.,NETWORKS,4th-year.pdf,1,1483
4th Year,4896938ac967,explain its guidelines to design in detail,Explain its guidelines to design in detail.,Q4.,4th-year.pdf,1,1065
4th Year,4a932ce37954,explain its importance in the management,Explain its importance in the management.,[P.T.O.],4th-year.pdf,1,5709
4th Year,4ee3a1d8af83,explain its principles in detail,Explain its principles in detail.,ADVANCE COMPUTER NETWORK,4th-year.pdf,1,982
4th Year,a56b1ee2d8e5,explain its role in processing big data in the cloud using,Explain its role in processing big data in the cloud using,CLOUD SECURITY,4th-year.pdf,1,1704
4th Year,774dd23fc8f7,explain key components such,Explain key components such,CLOUD SECURITY,4th-year.pdf,1,1647
4th Year,e4366824bf9f,explain kill process with the,Explain Kill process with the,010X20-80T,4th-year.pdf,1,6437
4th Year,19bd39b10132,explain layer and switching,Explain Layer 2 and 3 switching.,Q2.,4th-year.pdf,1,1008
4th Year,ec2f69ea4b57,explain layers of unix,Explain layers of UNIX,010X20-80T,4th-year.pdf,1,6441
4th Year,c3b3dacc7e30,explain mechanisms for instruction pipelining improvement voa,Explain mechanisms for instruction pipelining improvement. VOA,[P.T.O.],4th-year.pdf,1,266
4th Year,4e6238034d45,explain method overriding and overloading with example,Explain method overriding and  overloading with example. (10 marks),"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,124
4th Year,2646d1e24105,explain msi mesi and moesi in detail,"Explain MSI, MESI, and MOESI in detail.",[P.T.O.],4th-year.pdf,1,315
4th Year,379fd1d3e2be,explain multithreading with help of openmp also give case study of,Explain multithreading with help of OpenMP. Also give case study of,TCS-702/1420,4th-year.pdf,1,430
4th Year,1947a85cc480,explain name service in linux operating what is use of host and nsswitch configuration file,(c) Explain name service in Linux operating. What is use of host and nsswitch configuration file?,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4267
4th Year,4835c4833a2f,explain neural architecture and learning process in detail,Explain Neural Architecture and learning process in detail?,SOFT COMPUTING,4th-year.pdf,1,5923
4th Year,ba77d411f9c2,explain quality tree,Explain Quality Tree.,QUALITY SYSTEM AND MANAGEMENT,4th-year.pdf,1,3982
4th Year,c98fe1a2ad17,explain scalability and concurrency,Explain Scalability and Concurrency,(5X4=20),4th-year.pdf,1,5072
4th Year,fe50ed333af1,explain the,Explain the,10X2,4th-year.pdf,1,1174
4th Year,d658323b9db2,explain the advanced encryption standard algorithm in details,Explain the Advanced Encryption Standard (AES) algorithm in details.,C12,4th-year.pdf,1,5597
4th Year,60f11835901c,explain the auditing as a tool for quality improvement,Explain the auditing as a tool for quality improvement.,[P.T.O.],4th-year.pdf,1,5727
4th Year,aa3f3c96e7f0,explain the bidirectional gaussian elimination for solving a set of linear algebraic,Explain the bidirectional Gaussian elimination for solving a set of linear algebraic,M32) (320) HOT,4th-year.pdf,1,795
4th Year,e378303c05bd,explain the bidirectional gaussian elimination for solving a set of linear algebraic equation,Explain the Bidirectional Gaussian elimination for solving a set of linear algebraic equation.,[P.T.O.],4th-year.pdf,1,294
4th Year,93cd5983641a,explain the british standards for quality systems,Explain the British standards for Quality systems.,[P.T.O.],4th-year.pdf,1,5735
4th Year,9918c5a9ee59,explain the challenges,Explain the challenges,CLOUD SECURITY,4th-year.pdf,1,1683
4th Year,c03918d76600,explain the challenges of directional antennasin,(5 marks) (ii) Explain the challenges of directional antennasin,S0178,4th-year.pdf,1,572
4th Year,f516149ef6f5,explain the cisco enterprise composite network model in detail,Explain the Cisco Enterprise Composite Network Model in detail.,Q2.,4th-year.pdf,1,1000
4th Year,7d1828079d15,explain the classification by decision tree induction describe,Explain the classification by decision tree induction. Describe,MM.: 100,4th-year.pdf,1,4558
4th Year,b48b1cedecb3,explain the client side of nis,Explain the client side of NIS.,LINUX?,4th-year.pdf,1,6637
4th Year,48a8888b0026,explain the concept of color lookup table,Explain the concept of color lookup table?,VO1230,4th-year.pdf,1,3842
4th Year,d4f97d920abe,explain the concept of grid computing and give its,Explain the concept of grid computing and give its,P.T.O,4th-year.pdf,1,2924
4th Year,cba981b8b140,explain the concept of init program,Explain the concept of Init program.,SYSTEM ADMINISTRATION,4th-year.pdf,1,6550
4th Year,a2987b80e2b9,explain the concept of optimization,Explain the concept of Optimization?,[P.T.O.],4th-year.pdf,1,6057
4th Year,ec07bc1c8ff2,explain the concept of platform as a service and its significance in cloud computing,Explain the concept of Platform as a Service (PaaS) and its significance in cloud  computing.,CLOUD SECURITY,4th-year.pdf,1,1763
4th Year,d62e714be6b4,explain the concept of registration of leading accessors,Explain the concept of registration of leading accessors.,[P.T.O.],4th-year.pdf,1,5731
4th Year,dc720b5c7d19,explain the concept of security and how we can provide security in password files,Explain the concept of security and how we can provide security in password files?,SYSTEM ADMINISTRATION,4th-year.pdf,1,6510
4th Year,39473da1e56a,explain the concept of time shared processing in what respects it differ from the,Explain the concept of time shared processing. In what respects it differ from the,ADVANCE COMPUTER ARCHITECTURE,4th-year.pdf,1,635
4th Year,a9dd90a0b495,explain the concept open api why we use this to design social networking,Explain the concept Open API. Why we use this to design Social Networking,[P.T.O.],4th-year.pdf,1,7288
4th Year,c2f092b201dd,explain the concepts of remote,Explain the concepts of remote,Q.3,4th-year.pdf,1,4967
4th Year,00e3dbf7a16f,explain the current state of the data security in the cloud,Explain the current state of the Data Security in the Cloud.,BCST-803 (D),4th-year.pdf,1,7030
4th Year,8ccf9886343c,explain the data warehouse architecture,Explain the data warehouse architecture.,[P.T.O.],4th-year.pdf,1,4421
4th Year,6d89721d9cdf,explain the design and implementation of the sun network file system,Explain the design and implementation of the SUN Network file system.,Q.3,4th-year.pdf,1,5005
4th Year,80b5e429d373,explain the difference between superscalar and vliw architecture in terms of,Explain the difference between superscalar and VLIW architecture in terms of,M32) (320) HOT,4th-year.pdf,1,783
4th Year,14f02bd32f27,explain the difference between superscalar and vliw architecture in terms of hardware and software requirements,Explain the difference between superscalar and VLIW architecture in terms of hardware and software requirements.,[P.T.O.],4th-year.pdf,1,268
4th Year,823c860a9ec5,explain the difference between token and non token based algorithm,(d) Explain the difference between token and non-token based algorithm?,[P.T.O.],4th-year.pdf,1,4950
4th Year,3924a287c528,explain the different technique to handled,Explain the different technique to handled,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,31
4th Year,a675f0bf504f,explain the different types of cloud computing,Explain the different types of cloud computing?,Q.5,4th-year.pdf,1,5034
4th Year,90cf45069519,explain the essential features of cloud,Explain the essential features of cloud,Q.5,4th-year.pdf,1,5028
4th Year,09558e0ed9de,explain the file system hierarchy in linux system,Explain the file system hierarchy in Linux System.,ΤΕΘΕΙΘΕΟΣ,4th-year.pdf,1,6784
4th Year,b66abb01acf0,explain the following a multilayer switching b hierarchical ip,Explain the following: a) Multilayer switching b) Hierarchical IP,(C),4th-year.pdf,1,1200
4th Year,646a9d3b9e84,explain the following terms,Explain the following terms:,M32) (320) HOT,4th-year.pdf,1,749
4th Year,251fb1c1833c,explain the following terms as applied to communication patterns in a message,Explain the following terms as applied to communication patterns in a message,TCS-702/1920,4th-year.pdf,1,823
4th Year,abfae9375d0a,explain the implementation rules of vector clock,Explain the implementation rules of vector clock,Q.1,4th-year.pdf,1,4916
4th Year,ad60d3f934cd,explain the importance of lamport s logical clock,Explain the importance of lamport's logical clock?,Q.1,4th-year.pdf,1,4908
4th Year,bb6168e4a40f,explain the inclusion property and memory coherence requirements in a multilevel memory hierarchy distinguish between write through and write back policies in maintaining the coherence in adjacent levels also explain the basic concepts of paging segmentation in managing the physical and virtual memories in hierarchy,Explain the inclusion property and memory coherence requirements in a multilevel memory hierarchy. Distinguish between write through and write back policies in maintaining the coherence in adjacent levels. Also explain the basic concepts of paging & segmentation in managing the physical and virtual memories in hierarchy.,[P.T.O.],4th-year.pdf,1,261
4th Year,c44fa476f2c3,explain the intended purpose of each,Explain the intended purpose of each.,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4263
4th Year,fffcf1df4dac,explain the interconnection networks and its types with examples,Explain the interconnection networks and its types with examples.,SECTION-3,4th-year.pdf,1,3154
4th Year,c52fa09227d7,explain the key differences between multimedia data and conventional types of media,Explain the key differences between multimedia data and conventional types of media..,5X4 20,4th-year.pdf,1,3782
4th Year,df72e644ea40,explain the layers architecture of unix with the purpose of each layer,Explain the layers architecture of UNIX with the purpose of each layer.,HOBT,4th-year.pdf,1,6615
4th Year,cee97db7ceeb,explain the market basket analysis,Explain the market basket analysis?,MM.: 100,4th-year.pdf,1,4552
4th Year,932650b0d83d,explain the mechanisms used for this purpose,Explain the mechanisms used for this purpose.,DS-1096],4th-year.pdf,1,3687
4th Year,dda8e1cd7613,explain the methods for concurrency control in distributed system,Explain the methods for concurrency control in distributed system,Q.3,4th-year.pdf,1,5001
4th Year,6dfe38d07f37,explain the need of keeping memory consistent how will you keep memory consistent,Explain the need of keeping memory consistent. How will you keep memory consistent?,TCS-702/1420,4th-year.pdf,1,427
4th Year,ee66c32604fe,explain the need of quality system,Explain the need of Quality system.,QUALITY SYSTEM AND MANAGEMENT,4th-year.pdf,1,5664
4th Year,ae6ee0d6444a,explain the organization of file structure,Explain the organization of file structure?,Q.2,4th-year.pdf,1,6850
4th Year,68299bc515fd,explain the participants in the,Explain the participants in the,E34,4th-year.pdf,1,2515
4th Year,a509759988ef,explain the procedure to mine multi level association rules from transactional databases take suitable basket example while answering,Explain the procedure to mine multi level association rules from transactional databases. Take suitable basket example while answering.,TID,4th-year.pdf,1,3409
4th Year,73eb28e20817,explain the process of data warehouse design and a three tire data,Explain the process of data warehouse design and a three tire data,WATAO,4th-year.pdf,1,4753
4th Year,ebc86f15c4ac,explain the process of just in time,(5 marks) (ii) Explain the process of Just-In-Time (JIT),"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,111
4th Year,92a578051f44,explain the process of service oriented analysis and its importance in developing business centric soa,Explain the process of service-oriented analysis and its importance in developing  business-centric SOA.,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5814
